"motor:","AeroTech F13-RCT"
"contributor:","John Coker"
"details:","https://www.thrustcurve.org/simfiles/5f4294d20002e900000002c1/"

"Time (s)","Thrust (N)"
0,0
0.048,15.309
0.084,18.629
0.143,19.98
0.311,18.968
0.538,18.172
0.729,17.138
0.992,15.428
1.279,13.828
1.673,12.456
1.984,11.879
2.044,12.227
2.139,11.313
2.378,11.193
2.51,11.084
2.558,12.108
2.641,10.855
2.976,10.736
3.49,10.627
3.873,10.507
3.992,10.965
4.028,10.627
4.41,10.507
4.625,10.736
4.769,9.941
4.829,8.684
4.865,6.742
4.96,3.199
5.02,1.485
5.1,0
